"20141121","10286"
"20141122","5977"
"20141123","5519"
"20141124","8951"
"20141125","10478"
"20141126","9889"
"20141127","8566"
"20141128","7733"
"20141129","6382"
"20141130","5272"
"20141201","10223"
"20141202","10492"
"20141203","11115"
"20141204","10502"
"20141205","10855"
"20141206","5874"
"20141207","5461"
"20141208","10398"
"20141209","10660"
"20141210","11199"
"20141211","10849"
"20141212","10360"
"20141213","5812"
"20141214","5591"
"20141215","11126"
"20141216","11793"
"20141217","5938"
"20141218","3"
"20141219","1"
"20141220","1"
"20141221","2"
"20141222","1"
"20141223","2"
"20141224","1"
"20141225","0"
"20141226","0"
"20141227","0"
"20141228","1"
"20141229","1"
"20141230","1"
"20141231","0"
